,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,avg_wave_ht_day_of_measurement_cm,researcher_name
330,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,39,Meryl
331,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,MALE,14,Hugh
332,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,FEMALE,23,Hugh
333,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,MALE,22,Stanley
334,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,FEMALE,39,Hugh
335,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE,17,Stanley
336,Gentoo,Biscoe,44.5,15.7,217.0,4875.0,.,31,Meryl
337,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE,34,Hugh
338,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,33,Stanley
339,Gentoo,Biscoe,,,,,,25,Meryl
340,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,FEMALE,18,Stanley
341,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE,32,Meryl
342,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,FEMALE,13,Hugh
343,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE,37,Hugh
